is_training,render,is_slippery,n_episodes,map_name,seed,learning_rate_a,discount_factor_gamma,epsilon,epsilon_decay_rate,rewards_per_episode,sum_rewards
True,False,False,15000,4x4,20,0.01,0.01,1,0.0001,[0. 0. 1. ... 1. 1. 1.],[  0.   0.   1. ... 101. 101. 101.]
True,False,False,15000,4x4,20,0.01,0.5,1,0.0001,[1. 0. 0. ... 1. 1. 1.],[  1.   1.   1. ... 101. 101. 101.]
True,False,False,15000,4x4,20,0.01,0.95,1,0.0001,[1. 1. 0. ... 1. 1. 1.],[  1.   2.   2. ... 101. 101. 101.]
True,False,False,15000,4x4,20,0.1,0.01,1,0.0001,[1. 0. 0. ... 1. 1. 1.],[  1.   1.   1. ... 101. 101. 101.]
True,False,False,15000,4x4,20,0.1,0.5,1,0.0001,[0. 1. 0. ... 1. 1. 1.],[  0.   1.   1. ... 101. 101. 101.]
True,False,False,15000,4x4,20,0.1,0.95,1,0.0001,[0. 0. 0. ... 1. 1. 1.],[  0.   0.   0. ... 101. 101. 101.]
True,False,False,15000,4x4,20,0.9,0.01,1,0.0001,[1. 0. 1. ... 1. 1. 1.],[  1.   1.   2. ... 101. 101. 101.]
True,False,False,15000,4x4,20,0.9,0.5,1,0.0001,[1. 0. 0. ... 1. 1. 1.],[  1.   1.   1. ... 101. 101. 101.]
True,False,False,15000,4x4,20,0.9,0.95,1,0.0001,[0. 0. 0. ... 1. 1. 1.],[  0.   0.   0. ... 101. 101. 101.]
True,False,False,15000,8x8,20,0.01,0.01,1,0.0001,[0. 0. 0. ... 1. 1. 1.],[  0.   0.   0. ... 101. 101. 101.]
True,False,False,15000,8x8,20,0.01,0.5,1,0.0001,[0. 0. 0. ... 1. 1. 1.],[  0.   0.   0. ... 101. 101. 101.]
True,False,False,15000,8x8,20,0.01,0.95,1,0.0001,[0. 0. 0. ... 1. 1. 1.],[  0.   0.   0. ... 101. 101. 101.]
True,False,False,15000,8x8,20,0.1,0.01,1,0.0001,[0. 0. 0. ... 1. 1. 1.],[  0.   0.   0. ... 101. 101. 101.]
