render,is_slippery,n_iterations,map_name,seed,discount_factor_gamma,epsilon_decay_rate,steps,sum_rewards
False,False,150,4x4,20,0.01,1e-06,149,[0\, 0\, 0\, 0\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100]
False,False,150,4x4,20,0.01,0.0001,149,[0\, 0\, 0\, 0\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100]
False,False,150,4x4,20,0.01,0.01,149,[0\, 0\, 0\, 0\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100]
False,False,150,4x4,20,0.5,1e-06,149,[0\, 0\, 0\, 0\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100]
False,False,150,4x4,20,0.5,0.0001,149,[0\, 0\, 0\, 0\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100]
False,False,150,4x4,20,0.5,0.01,149,[0\, 0\, 0\, 0\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100]
False,False,150,4x4,20,0.95,1e-06,149,[0\, 0\, 0\, 0\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100]
False,False,150,4x4,20,0.95,0.0001,149,[0\, 0\, 0\, 0\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100]
False,False,150,4x4,20,0.95,0.01,149,[0\, 0\, 0\, 0\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100]
False,False,150,4x4,20,0.99,1e-06,149,[0\, 0\, 0\, 0\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100]
False,False,150,4x4,20,0.99,0.0001,149,[0\, 0\, 0\, 0\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100\, 100]
